#Procedure: <__main__.MCT_calib>
#Parameters:
#	Zero pressure paro sci period: 2.49138e-05 s
#	AH2500A address: GPIB1::3::INSTR
#	AH2500 avg. exponent: 7
#	Comments/Notes: 
#	HP counter address: GPIB0::9::INSTR
#	counter gate time: 4 s
#Data:
UTC,timestamp,C,Loss,Vex,Period,P_paro
3827755230.593523,2082853020.0348113,33.54114,0.0445,0.25,2.604757805262e-05,28.188964414110245
3827755235.7654924,2082853025.2067807,33.54112,0.04412,0.25,2.604757845124e-05,28.18897368506875
3827755240.9604273,2082853030.4017155,33.5412,0.04364,0.25,2.604758192141e-05,28.1890543929989
3827755246.1724463,2082853035.6137345,33.54136,0.04328,0.25,2.604758466588e-05,28.189118222843963
3827755251.3793983,2082853040.8206866,33.54139,0.0435,0.25,2.604758785408e-05,28.189192372768368
3827755256.614442,2082853046.05573,33.54147,0.04374,0.25,2.604759038704e-05,28.189251283354544
3827755261.8413625,2082853051.2826507,33.54152,0.04427,0.25,2.604759218258e-05,28.189293043306396
3827755267.024317,2082853056.465605,33.5416,0.04507,0.25,2.604759282653e-05,28.189308020036027
3827755272.223271,2082853061.6645591,33.54178,0.0456,0.25,2.604759505164e-05,28.18935977073953
3827755277.4022183,2082853066.8435066,33.54209,0.04546,0.25,2.604759963639e-05,28.189466400948785
3827755282.6362095,2082853072.0774977,33.54228,0.04534,0.25,2.604760069997e-05,28.189491137242264
3827755287.807212,2082853077.2485,33.54235,0.04516,0.25,2.604760064977e-05,28.18948996971195
3827755293.010131,2082853082.451419,33.54236,0.04453,0.25,2.604759884761e-05,28.18944805583544
3827755298.205118,2082853087.6464064,33.54231,0.04416,0.25,2.60475989222e-05,28.18944979061838
3827755303.3630433,2082853092.8043315,33.54231,0.04374,0.25,2.604760015456e-05,28.189478452327737
3827755308.5310473,2082853097.9723356,33.54215,0.04374,0.25,2.604759781103e-05,28.189423947491612
3827755313.731036,2082853103.1723244,33.54197,0.04364,0.25,2.60475956976e-05,28.18937479421197
3827755318.9559526,2082853108.3972409,33.54179,0.04399,0.25,2.604759344421e-05,28.189322385787612
3827755324.1449084,2082853113.5861967,33.54141,0.0446,0.25,2.604758483904e-05,28.189122250133064
3827755329.3178606,2082853118.7591488,33.54112,0.04512,0.25,2.604757865792e-05,28.188978491956668
3827755334.543812,2082853123.9851,33.54104,0.04553,0.25,2.604757610539e-05,28.188919126139176
3827755339.7337694,2082853129.1750576,33.54116,0.04563,0.25,2.604757662627e-05,28.188931240578867
3827755344.9397235,2082853134.3810117,33.54132,0.04543,0.25,2.604757747744e-05,28.188951036782868
3827755350.0936737,2082853139.534962,33.54142,0.04492,0.25,2.604757913055e-05,28.18898948421205
3827755355.295635,2082853144.7369235,33.54134,0.04435,0.25,2.604757639515e-05,28.188925865273063
